LocationID,EventID,ObsInits
AGFOTweety1,AGFOTweety2001May070654AM,DGP
AGFOTweety1,AGFOTweety2003Jun040757AM,DGP
AGFOTweety1,AGFOTweety2004Jun080532AM,DGP
AGFOTweety1,AGFOTweety2005Jun060909AM,DGP
AGFOTweety1,AGFOTweety2006Jun060534AM,DGP
AGFOTweety10,AGFOTweety2001May080737AM,DGP
AGFOTweety10,AGFOTweety2003Jun030748AM,DGP
AGFOTweety10,AGFOTweety2004Jun070705AM,DGP
AGFOTweety10,AGFOTweety2005Jun070736AM,DGP
AGFOTweety10,AGFOTweety2006Jun070710AM,DGP
AGFOTweety11,AGFOTweety2001May080826AM,DGP
AGFOTweety11,AGFOTweety2003Jun030802AM,DGP
AGFOTweety11,AGFOTweety2004Jun070719AM,DGP
AGFOTweety11,AGFOTweety2005Jun070754AM,DGP
AGFOTweety11,AGFOTweety2006Jun070658AM,DGP
AGFOTweety12,AGFOTweety2001May080753AM,DGP
AGFOTweety12,AGFOTweety2003Jun030712AM,DGP
AGFOTweety12,AGFOTweety2004Jun070651AM,DGP
AGFOTweety12,AGFOTweety2005Jun070705AM,DGP
AGFOTweety12,AGFOTweety2006Jun070725AM,DGP
AGFOTweety13,AGFOTweety2001May080900AM,DGP
AGFOTweety13,AGFOTweety2003Jun030627AM,DGP
AGFOTweety13,AGFOTweety2004Jun070614AM,DGP
AGFOTweety13,AGFOTweety2005Jun070610AM,DGP
AGFOTweety13,AGFOTweety2006Jun070620AM,DGP
AGFOTweety14,AGFOTweety2001May080811AM,DGP
AGFOTweety14,AGFOTweety2003Jun030656AM,DGP
AGFOTweety14,AGFOTweety2004Jun070638AM,DGP
AGFOTweety14,AGFOTweety2005Jun070647AM,DGP
AGFOTweety14,AGFOTweety2006Jun070644AM,DGP
AGFOTweety15,AGFOTweety2003Jun050608AM,DGP
AGFOTweety15,AGFOTweety2004Jun090527AM,DGP
AGFOTweety15,AGFOTweety2005Jun080529AM,DGP
AGFOTweety15,AGFOTweety2006Jun080904AM,DGP
AGFOTweety16,AGFOTweety2003Jun050552AM,DGP
AGFOTweety16,AGFOTweety2004Jun090652AM,DGP
AGFOTweety16,AGFOTweety2005Jun080719AM,DGP
AGFOTweety16,AGFOTweety2006Jun080927AM,DGP
